outlier_ratio,model,class,coverage,mmd,mode_coverage,nll,precision,swd,wasserstein
0.0,kde,macro_avg,0.9500000000000001,0.0004524879510741098,1.0,1.9643407005828144,0.9315,0.05149648843206911,0.24888616650411907
0.0,gmm,macro_avg,0.940875,0.0003367082054830939,1.0,1.8984661253514155,0.9319999999999999,0.048370291910835354,0.1939465901352897
0.0,diffusion,macro_avg,0.9324999999999999,0.001423550921399841,1.0,2.130584167814795,0.850625,0.077515317033053,0.24744001521403297
0.01,kde,macro_avg,0.9492499999999999,0.0004889054407462567,1.0,1.9748143499445143,0.924125,0.07096954184393567,0.28730209567493165
0.01,gmm,macro_avg,0.938,0.0001509040771750514,1.0,1.9582564863875151,0.9031250000000001,0.05516640392286072,0.20373944703285518
0.01,diffusion,macro_avg,0.9265,0.0018501465804153794,1.0,2.1653481027586947,0.82475,0.11796681177408114,0.3290890782748943
0.05,kde,macro_avg,0.9477500000000001,0.0015254517693658043,1.0,2.0138163396025623,0.885875,0.16910048125051244,0.44665763106460654
0.05,gmm,macro_avg,0.93175,0.001541020037830798,1.0,2.0826699060742113,0.800875,0.17507380861694727,0.4145729333011746
0.05,diffusion,macro_avg,0.892875,0.004071174663405341,1.0,2.4476293202847126,0.6741250000000001,0.2614684398247026,0.5601444168935056
0.1,kde,macro_avg,0.9425,0.004232753967632008,1.0,2.0698294653515616,0.84575,0.2803291990198618,0.5923179367386648
0.1,gmm,macro_avg,0.9065000000000001,0.004579315671806972,1.0,2.391058469667975,0.620375,0.2988849147749573,0.6053381951915662
0.1,diffusion,macro_avg,0.880375,0.008963415443577871,1.0,2.5403666410022425,0.607625,0.39925112471729296,0.7661537260774715
